GUBUN,YYYYMM,BIZ_CD,BIZ_NM,NEW_ADDR,NEW_ADDR1,NEW_ADDR2
추가,202003,EZ4239,메디스퀘어,"서울특별시 강남구 선릉로 704, 12층",서울특별시 강남구,"선릉로 704, 12층"
추가,202003,FA1824,대경빌딩,"서울특별시 강남구 도곡로 123,",서울특별시 강남구,"도곡로 123,"
추가,202003,JJ1036,(주)유핀테크허브,"서울특별시 강남구 테헤란로 207, 14층",서울특별시 강남구,"테헤란로 207, 14층"
추가,202003,JQ1422,(주)엔엑스홀딩스,"서울특별시 강남구 테헤란로 508, A동 16층  05호",서울특별시 강남구,"테헤란로 508, A동 16층  05호"
추가,202003,LA5828,그레이존,"서울특별시 강남구 논현로157길 19, B1호",서울특별시 강남구,"논현로157길 19, B1호"
추가,202003,LA8272,이굳미디어,"서울특별시 강남구 강남대로 320, 11층  1108호",서울특별시 강남구,"강남대로 320, 11층  1108호"
추가,202003,LB0467,BK성형외과의원,"서울특별시 강남구 도산대로 106,",서울특별시 강남구,"도산대로 106,"
추가,202003,LB3221,티제이인스티튜트,"서울특별시 강남구 논현로168길 36, 2층  206호",서울특별시 강남구,"논현로168길 36, 2층  206호"
추가,202003,LB5838,솔라사인,"서울특별시 강남구 역삼로 169,",서울특별시 강남구,"역삼로 169,"
추가,202003,LB6630,벨라디아 by DY,"서울특별시 강남구 학동로20길 49,",서울특별시 강남구,"학동로20길 49,"
추가,202003,Q56026,피닉스리더스,"서울특별시 강남구 테헤란로69길 5, 9층",서울특별시 강남구,"테헤란로69길 5, 9층"
추가,202003,S77916,백조세탁소,"서울특별시 강남구 삼성로 417, 포스코더샵  2층  205호",서울특별시 강남구,"삼성로 417, 포스코더샵  2층  205호"
추가,202003,V93601,주종탁세무회계사무소,"서울특별시 강남구 언주로30길 10, 716호",서울특별시 강남구,"언주로30길 10, 716호"
추가,202003,AK5220,앵글치과의원,"서울특별시 강남구 언주로171길 18,",서울특별시 강남구,"언주로171길 18,"
추가,202003,IX8842,파란행복(주),"서울특별시 강남구 논현로85길 28, 1층",서울특별시 강남구,"논현로85길 28, 1층"
추가,202003,JL9030,(주)트이다,"서울특별시 강남구 선릉로 551, 2층",서울특별시 강남구,"선릉로 551, 2층"
추가,202003,LA9372,메죵슈슈,"서울특별시 강남구 봉은사로29길 32,",서울특별시 강남구,"봉은사로29길 32,"
추가,202003,LB2277,전체이용가스튜디오,"서울특별시 강남구 학동로56길 33, 지하1층",서울특별시 강남구,"학동로56길 33, 지하1층"
추가,202003,LB2432,메디칼바른,"서울특별시 강남구 선릉로87길 12, 9층  933호",서울특별시 강남구,"선릉로87길 12, 9층  933호"
추가,202003,LB3759,강남합기도,"서울특별시 강남구 역삼로 310, 2층  28호",서울특별시 강남구,"역삼로 310, 2층  28호"
추가,202003,LB7489,스틸엔스톤,"서울특별시 강남구 선릉로152길 32, 5층",서울특별시 강남구,"선릉로152길 32, 5층"
추가,202003,Y15080,케이엘,"서울특별시 강남구 도산대로81길 48-8,",서울특별시 강남구,"도산대로81길 48-8,"
추가,202003,Z94853,주성주유소,"서울특별시 강남구 영동대로 716,",서울특별시 강남구,"영동대로 716,"
추가,202003,H86303,동우,"서울특별시 강남구 도곡로37길 16,",서울특별시 강남구,"도곡로37길 16,"
추가,202003,H86524,김부근(임대),"서울특별시 강남구 역삼로14길 11,",서울특별시 강남구,"역삼로14길 11,"
추가,202003,HG9036,민트세이지(주),"서울특별시 강남구 언주로 118, 1217호",서울특별시 강남구,"언주로 118, 1217호"
추가,202003,HW8510,라미엘(Lamiel),"서울특별시 강남구 언주로30길 21, 2802호",서울특별시 강남구,"언주로30길 21, 2802호"
추가,202003,HZ9057,벤엔데릭,"서울특별시 강남구 압구정로4길 13-7, 201호",서울특별시 강남구,"압구정로4길 13-7, 201호"
추가,202003,JG8688,디비프라이빗에쿼티(주),"서울특별시 강남구 영동대로 511, 2405호",서울특별시 강남구,"영동대로 511, 2405호"
추가,202003,JU9274,(주)베클랑코리아,"서울특별시 강남구 강남대로94길 67, 502호",서울특별시 강남구,"강남대로94길 67, 502호"
추가,202003,JZ9664,진우,"서울특별시 강남구 테헤란로52길 21, 4층",서울특별시 강남구,"테헤란로52길 21, 4층"
추가,202003,LA2786,(주)한국오티씨,"서울특별시 강남구 도산대로 158, 1401호",서울특별시 강남구,"도산대로 158, 1401호"
추가,202003,LB0535,최화희(사이룩스),"서울특별시 강남구 광평로 295, 905호",서울특별시 강남구,"광평로 295, 905호"
추가,202003,LB5645,보템,"서울특별시 강남구 봉은사로 211, 3층",서울특별시 강남구,"봉은사로 211, 3층"
추가,202003,IY2424,(주)원더세븐글로벌,"서울특별시 강남구 언주로 709, 10층",서울특별시 강남구,"언주로 709, 10층"
추가,202003,JC8585,디핀더(주),"서울특별시 강남구 강남대로154길 21, 3층",서울특별시 강남구,"강남대로154길 21, 3층"
추가,202003,JV3730,법무법인피터앤김,"서울특별시 강남구 영동대로 511, 1704호",서울특별시 강남구,"영동대로 511, 1704호"
추가,202003,LA2193,디오브제,"서울특별시 강남구 압구정로79길 18, 3층",서울특별시 강남구,"압구정로79길 18, 3층"
추가,202003,LA8380,웰네트워크,"서울특별시 강남구 선릉로 428, 16층  35호",서울특별시 강남구,"선릉로 428, 16층  35호"
추가,202003,LB7623,파리바게뜨삼성역점,"서울특별시 강남구 영동대로 424, 1층",서울특별시 강남구,"영동대로 424, 1층"
추가,202003,BP0994,와이케이(YK)주차장,"서울특별시 강남구 봉은사로82길 21,",서울특별시 강남구,"봉은사로82길 21,"
추가,202003,BV1676,저스트헤어앤커피,"서울특별시 강남구 논현로26길 46, 1층  2호",서울특별시 강남구,"논현로26길 46, 1층  2호"
추가,202003,JD8999,(주)퍼스텝컴퍼니,"서울특별시 강남구 테헤란로82길 15, 1935호",서울특별시 강남구,"테헤란로82길 15, 1935호"
추가,202003,JF7752,(주)베스텔라랩,"서울특별시 강남구 테헤란로22길 14, 5층",서울특별시 강남구,"테헤란로22길 14, 5층"
추가,202003,JJ6595,(주)건화인터내셔널,"서울특별시 강남구 테헤란로 311, 1903호",서울특별시 강남구,"테헤란로 311, 1903호"
추가,202003,JL6335,(주)제이제이교육,"서울특별시 강남구 광평로56길 8-13, 수서타워  1610호",서울특별시 강남구,"광평로56길 8-13, 수서타워  1610호"
추가,202003,JW4258,(주)안단테나인,"서울특별시 강남구 강남대로116길 33, 101호",서울특별시 강남구,"강남대로116길 33, 101호"
추가,202003,JY5742,하모니아1호(유),"서울특별시 강남구 테헤란로 152, 12층  강남파이낸스센터",서울특별시 강남구,"테헤란로 152, 12층  강남파이낸스센터"
추가,202003,LA6710,한국인재개발아카데미,"서울특별시 강남구 봉은사로 317, 2층  2073호",서울특별시 강남구,"봉은사로 317, 2층  2073호"
추가,202003,LA7452,렉슬디자인,"서울특별시 강남구 선릉로 224, 1층  107호",서울특별시 강남구,"선릉로 224, 1층  107호"
추가,202003,LA8573,새온소프트,"서울특별시 강남구 영동대로 602, 6층  C273호",서울특별시 강남구,"영동대로 602, 6층  C273호"
추가,202003,FA1232,이손치과의원,"서울특별시 강남구 논현로93길 6, 3층",서울특별시 강남구,"논현로93길 6, 3층"
추가,202003,HM0634,(주)맘편한심리상담센터,"서울특별시 강남구 강남대로84길 23, 1013호",서울특별시 강남구,"강남대로84길 23, 1013호"
추가,202003,IH4153,유미코리아(YOU美KOREA),"서울특별시 강남구 봉은사로 211, 6층",서울특별시 강남구,"봉은사로 211, 6층"
추가,202003,IZ1395,(주)우리동네오케이부동산중개법인,"서울특별시 강남구 남부순환로 2921, 173호",서울특별시 강남구,"남부순환로 2921, 173호"
추가,202003,JB6880,액티스코리아(유),"서울특별시 강남구 테헤란로 152, 26층",서울특별시 강남구,"테헤란로 152, 26층"
추가,202003,LA0462,다소니플랜,"서울특별시 강남구 광평로56길 8-13, 1006호",서울특별시 강남구,"광평로56길 8-13, 1006호"
추가,202003,LB4523,막걸리는살아있다,"서울특별시 강남구 도산대로51길 39, 지하1층",서울특별시 강남구,"도산대로51길 39, 지하1층"
추가,202003,LB4709,제이더블유빌딩,"서울특별시 강남구 선릉로127길 6,",서울특별시 강남구,"선릉로127길 6,"
추가,202003,Z43648,동주빌딩,"서울특별시 강남구 삼성로135길 41,",서울특별시 강남구,"삼성로135길 41,"
추가,202003,HM5073,(주)인디자인월드와이드,"서울특별시 강남구 삼성로 508, 511호",서울특별시 강남구,"삼성로 508, 511호"
추가,202003,HN2782,(주)유나패브릭,"서울특별시 강남구 논현로12길 17, 301호",서울특별시 강남구,"논현로12길 17, 301호"
추가,202003,HP3781,(주)제이지아이,"서울특별시 강남구 테헤란로 311, 12층  1203호",서울특별시 강남구,"테헤란로 311, 12층  1203호"
추가,202003,JF6159,메디아인엔씨(주),"서울특별시 강남구 밤고개로1길 10, 1225호",서울특별시 강남구,"밤고개로1길 10, 1225호"
추가,202003,JH5533,씨앤아이통신(주),"서울특별시 강남구 삼성로96길 6, 9층  906호",서울특별시 강남구,"삼성로96길 6, 9층  906호"
추가,202003,JZ9615,라우빌딩,"서울특별시 강남구 언주로104길 12,",서울특별시 강남구,"언주로104길 12,"
추가,202003,LA6607,김봉수_안명애부동산(319-320호)/종합,"서울특별시 강남구 삼성로 155, 3층  319 320호",서울특별시 강남구,"삼성로 155, 3층  319 320호"
추가,202003,LB7475,닭치고디집고,"서울특별시 강남구 강남대로122길 15, 2층  201호",서울특별시 강남구,"강남대로122길 15, 2층  201호"
추가,202003,V84133,권향옥(논현동),"서울특별시 강남구 강남대로124길 5,",서울특별시 강남구,"강남대로124길 5,"
추가,202003,HM3804,(주)미로석건,"서울특별시 강남구 봉은사로 129, 1121호",서울특별시 강남구,"봉은사로 129, 1121호"
추가,202003,JB5415,(주)아이엠에스알,"서울특별시 강남구 도산대로 128, 3층",서울특별시 강남구,"도산대로 128, 3층"
추가,202003,LA2922,금당디자인,"서울특별시 강남구 자곡로 174-10, 413호",서울특별시 강남구,"자곡로 174-10, 413호"
추가,202003,LA6612,에비뉴75,"서울특별시 강남구 논현로75길 6,",서울특별시 강남구,"논현로75길 6,"
추가,202003,LB0519,강남권산부인과의원,"서울특별시 강남구 강남대로 390, 3층",서울특별시 강남구,"강남대로 390, 3층"
추가,202003,LB3619,메타스콜레학원,"서울특별시 강남구 역삼로 423, 7층",서울특별시 강남구,"역삼로 423, 7층"
추가,202003,Q19538,한혜승(압구정),"서울특별시 강남구 압구정로29길 69, 10호 차상가 1동 지하층",서울특별시 강남구,"압구정로29길 69, 10호 차상가 1동 지하층"
추가,202003,GS9020,파크힐다세대주택,"서울특별시 강남구 역삼로25길 36,",서울특별시 강남구,"역삼로25길 36,"
추가,202003,J24386,우진세상의원,"서울특별시 강남구 압구정로28길 21, 2층",서울특별시 강남구,"압구정로28길 21, 2층"
추가,202003,JG7265,(주)가배도,"서울특별시 강남구 강남대로110길 13, 2층 3층",서울특별시 강남구,"강남대로110길 13, 2층 3층"
추가,202003,JN3357,(주)한국미용전문그룹유미코리아,"서울특별시 강남구 봉은사로 211, 6층",서울특별시 강남구,"봉은사로 211, 6층"
추가,202003,JR5404,(주)아로아소프트,"서울특별시 강남구 테헤란로29길 10, 3층",서울특별시 강남구,"테헤란로29길 10, 3층"
추가,202003,LA0327,공간,"서울특별시 강남구 논현로175길 101-4,",서울특별시 강남구,"논현로175길 101-4,"
추가,202003,LA4004,이케어요양보호사교육원,"서울특별시 강남구 도산대로1길 36, 302층",서울특별시 강남구,"도산대로1길 36, 302층"
추가,202003,LA8349,연세베러의원,"서울특별시 강남구 테헤란로26길 10, 6층",서울특별시 강남구,"테헤란로26길 10, 6층"
추가,202003,LA9667,밀리언영,"서울특별시 강남구 역삼로18길 14, 201호",서울특별시 강남구,"역삼로18길 14, 201호"
추가,202003,LB1600,넥스트앤파트너즈,"서울특별시 강남구 테헤란로 322, 한신인터밸리24빌딩 24제13층  동관 1417호",서울특별시 강남구,"테헤란로 322, 한신인터밸리24빌딩 24제13층  동관 1417호"
추가,202003,LB7408,논현유성당빌딩,"서울특별시 강남구 강남대로112길 17,",서울특별시 강남구,"강남대로112길 17,"
추가,202003,JG9545,(주)벨에포크자산운용,"서울특별시 강남구 도산대로 317, 4층",서울특별시 강남구,"도산대로 317, 4층"
추가,202003,JJ5756,아이앤씨씨(주),"서울특별시 강남구 테헤란로86길 12, 10층  티케이오케이빌딩",서울특별시 강남구,"테헤란로86길 12, 10층  티케이오케이빌딩"
추가,202003,JP0001,(주)에스앤앤유,"서울특별시 강남구 선릉로93길 31, 509호",서울특별시 강남구,"선릉로93길 31, 509호"
추가,202003,JZ2880,(주)1리터,"서울특별시 강남구 언주로79길 12, 4층",서울특별시 강남구,"언주로79길 12, 4층"
추가,202003,LA2945,와니코스,"서울특별시 강남구 봉은사로 506, 205호",서울특별시 강남구,"봉은사로 506, 205호"
추가,202003,LA3862,삼성바른치과의원,"서울특별시 강남구 테헤란로81길 26, 3층",서울특별시 강남구,"테헤란로81길 26, 3층"
추가,202003,LB8678,압구정살사댄스연습실,"서울특별시 강남구 압구정로 224,",서울특별시 강남구,"압구정로 224,"
추가,202003,Q12035,이윤재2,"서울특별시 강남구 테헤란로 329, 삼흥빌딩  1201호",서울특별시 강남구,"테헤란로 329, 삼흥빌딩  1201호"
추가,202003,JF6996,(주)기븐,"서울특별시 강남구 선릉로152길 34, 지하1층",서울특별시 강남구,"선릉로152길 34, 지하1층"
추가,202003,JO8533,(주)에스티에이디자인,"서울특별시 강남구 논현로72길 16, 4층  4707호",서울특별시 강남구,"논현로72길 16, 4층  4707호"
