GUBUN,YYYYMM,ID,NAME,NEW_ADDR1,NEW_ADDR
추가,202003,2042832,윤성산업(주),서울특별시 강남구,서울특별시 강남구 도산대로 307
추가,202003,8259175,한복단,서울특별시 강남구,"서울특별시 강남구 학동로 342, 에스케이허브블루 618호"
추가,202003,8345672,모닝글로리강남역점,서울특별시 강남구,"서울특별시 강남구 강남대로84길 6, 지하1층"
추가,202003,8754989,크라브마가,서울특별시 강남구,"서울특별시 강남구 선릉로133길 8, 3층"
추가,202003,9479915,(주)코리아에듀,서울특별시 강남구,서울특별시 강남구 테헤란로51길 18
추가,202003,9786879,종로엠유학,서울특별시 강남구,서울특별시 강남구 강남대로96길 12
추가,202003,10885841,(주)허니픽,서울특별시 강남구,"서울특별시 강남구 봉은사로 129, 1213호  거평타운"
추가,202003,11299922,아음컴퍼니,서울특별시 강남구,"서울특별시 강남구 테헤란로82길 15, 704호"
추가,202003,14520236,(주)미래비전컨설팅,서울특별시 강남구,"서울특별시 강남구 선릉로64길 18, 4층"
추가,202003,14735405,레몬,서울특별시 강남구,"서울특별시 강남구 봉은사로 161, 지하1층"
추가,202003,14740258,아시아타워매점,서울특별시 강남구,"서울특별시 강남구 논현로 430, 지하1층"
추가,202003,14781103,(주)이정심리연구소,서울특별시 강남구,"서울특별시 강남구 영동대로137길 3, 202호"
추가,202003,14789532,(주)오손바이오,서울특별시 강남구,"서울특별시 강남구 봉은사로114길 28, 405호"
추가,202003,14810300,(주)삼성씨앤씨충무로1호,서울특별시 강남구,"서울특별시 강남구 테헤란로84길 16, 세풍빌딩  7층"
추가,202003,14811022,자임당한의원,서울특별시 강남구,"서울특별시 강남구 논현로 610, 2층  석상빌딩"
추가,202003,14812332,큐쓰리당구장,서울특별시 강남구,"서울특별시 강남구 테헤란로47길 8, 3층"
추가,202003,14814590,수치과병원,서울특별시 강남구,"서울특별시 강남구 선릉로 823, 3층"
추가,202003,14815148,(주)나리스시논현본점,서울특별시 강남구,"서울특별시 강남구 언주로 626, 지하1층  101호  논현로얄팰리스"
추가,202003,14823705,(주)위쿡딜리버리역삼점,서울특별시 강남구,"서울특별시 강남구 봉은사로20길 54, 2층"
추가,202003,14824453,바오아토,서울특별시 강남구,"서울특별시 강남구 삼성로 11, 상가등 1층  108호  디에이치 아너힐즈"
추가,202003,14824614,메이크어딜리버리,서울특별시 강남구,"서울특별시 강남구 학동로34길 24, 1층"
추가,202003,14824858,TOP10KOREAFOOD,서울특별시 강남구,"서울특별시 강남구 테헤란로25길 20, 지하1층  101호  역삼현대벤쳐텔"
추가,202003,14826576,네일피아,서울특별시 강남구,"서울특별시 강남구 논현로150길 36-5, 지하1층"
추가,202003,14827416,(주)세한RF시스템,서울특별시 강남구,"서울특별시 강남구 논현로30길 32, 4층  경희빌딩"
추가,202003,14830802,계절집,서울특별시 강남구,"서울특별시 강남구 광평로 295, 서관 111호  한신사이룩스"
추가,202003,14832583,고쿠텐강남역점,서울특별시 강남구,"서울특별시 강남구 테헤란로4길 32, 104호  역삼동우정에쉐르 1"
추가,202003,14840662,더뭉티기,서울특별시 강남구,"서울특별시 강남구 테헤란로83길 14, 102호  두산위브센티움"
추가,202003,14842322,비(B)AND에이치(H)디자인컴퍼니,서울특별시 강남구,"서울특별시 강남구 도산대로78길 24, 2층"
추가,202003,14843548,웰빙텔,서울특별시 강남구,"서울특별시 강남구 영동대로112길 6, 3호  4층"
추가,202003,14845523,커뮤니케이션앤컬쳐,서울특별시 강남구,"서울특별시 강남구 테헤란로 431, 라이언타워"
추가,202003,14854665,(주)플랩,서울특별시 강남구,서울특별시 강남구 봉은사로63길 23
추가,202003,14854906,J&S빌딩,서울특별시 강남구,서울특별시 강남구 밤고개로21길 81
추가,202003,14860869,현대오토카,서울특별시 강남구,서울특별시 강남구 삼성로76길 24
추가,202003,7548483,신성특허법인,서울특별시 강남구,서울특별시 강남구 테헤란로14길 45
추가,202003,10428967,(주)디퍼런스연구소,서울특별시 강남구,"서울특별시 강남구 선릉로133길 4, 2층  아이큐박스빌딩"
추가,202003,13957042,(주)와이드브릿지파트너스,서울특별시 강남구,"서울특별시 강남구 언주로 432, 02호  IS타워"
추가,202003,14062772,헵시바의류수선,서울특별시 강남구,"서울특별시 강남구 언주로65길 34, 101호  태원빌리지"
추가,202003,14327440,글로벌영어선교원,서울특별시 강남구,"서울특별시 강남구 삼성로 436, 401호  운체빌딩"
추가,202003,14814361,더큐이스케이프강남점,서울특별시 강남구,"서울특별시 강남구 강남대로96길 20, 지하호 1동 -2층"
추가,202003,14814412,스시깡,서울특별시 강남구,"서울특별시 강남구 도산대로33길 18, 1층  101호  골든빌"
추가,202003,14814488,경일상사,서울특별시 강남구,"서울특별시 강남구 논현로71길 27, 지하층 층"
추가,202003,14816428,(주)모나클트레이드,서울특별시 강남구,"서울특별시 강남구 영동대로 511, 30층"
추가,202003,14818918,케이케이케이케이케이케이,서울특별시 강남구,"서울특별시 강남구 도산대로75길 15, 1층"
추가,202003,14821229,요르매플라워,서울특별시 강남구,"서울특별시 강남구 언주로103길 19, 1층"
추가,202003,14822126,롤링파스타가로수길점,서울특별시 강남구,"서울특별시 강남구 도산대로13길 16, 2층"
추가,202003,14823702,(주)스타페이스메디컬,서울특별시 강남구,"서울특별시 강남구 논현로168길 36, 3층  343호"
추가,202003,14824975,피디오클래식가로수길,서울특별시 강남구,"서울특별시 강남구 압구정로8길 10, 1층  BOGO빌딩"
추가,202003,14826581,세웅지씨,서울특별시 강남구,서울특별시 강남구 언주로159길 5
추가,202003,14832415,수퍼시스템(주),서울특별시 강남구,"서울특별시 강남구 선릉로 429, 8층"
추가,202003,14833587,공실제로,서울특별시 강남구,"서울특별시 강남구 테헤란로88길 10, 1층  109호  신안메트로칸"
추가,202003,14835151,오후여섯시꽃한송이,서울특별시 강남구,"서울특별시 강남구 도곡로1길 14, 1층  104호  삼일프라자오피스텔 오피스텔"
추가,202003,14838122,맘스터치세곡점,서울특별시 강남구,"서울특별시 강남구 자곡로 201, 1층  118호 호 120호"
추가,202003,14845253,김천재의족발이보곱닭,서울특별시 강남구,서울특별시 강남구 학동로2길 39
추가,202003,14845820,은왁싱,서울특별시 강남구,서울특별시 강남구 선릉로89길 7
추가,202003,14846344,글림,서울특별시 강남구,서울특별시 강남구 논현로 803
추가,202003,14847954,랜덤,서울특별시 강남구,"서울특별시 강남구 도산대로 408, 신우빌딩"
추가,202003,14855391,김부근,서울특별시 강남구,서울특별시 강남구 역삼로14길 11
