GUBUN,YYYYMM,brand_nm,store_nm,addr
추가,202005,파리바게뜨,삼성한전,서울 강남구 영동대로 510
추가,202005,파리바게뜨,자곡라르고,서울 강남구 자곡로 201
변경,202005,이디야커피,반포지하상가점,"서울 서초구 신반포로 지하 200 (잠원동, 강남터미널지하쇼핑몰) G-032호 지하쇼핑몰1구역"
추가,202005,온누리약국,늘푸른온누리,"서울 강남구  압구정로 306, 101호(신사동,반도상가)"
추가,202005,비비큐(BBQ),선릉역점,서울특별시 강남구 삼성로75길 15 (대치동) 지하1층
추가,202005,비비큐(BBQ),자곡행운점,"서울특별시 강남구 자곡로 191 (자곡동, 강남푸르지오시티 1차) 지하1층 B05호"
추가,202005,올리브영,강남우성점,서울특별시 강남구 강남대로 320 황화빌딩 1층 일부
추가,202005,삼성영어,원스터디,서울특별시 강남구 테헤란로83길 21
추가,202005,골프존파크,대치 골프72,서울 강남구 대치동 947-2 신아빌딩 B1
추가,202005,해법독서논술,해법독서논술교습소,서울특별시 강남구 광평로19길 10
추가,202005,윤선생,교실수서 (윤선생영어교실),"서울 강남구 개포로623, 222호 (대청타워)"
추가,202005,이브자리,이브자리 코디센 슬립앤슬립 압구정점,서울특별시 강남구 압구정로 324 (신사동)
변경,202005,버거킹(Burger King),청담점,서울특별시 강남구 선릉로 812
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[강남대점],"경기도 용인시 기흥구 강남동로 6, 104 (구갈동,그랜드프라자)"
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[역삼1점],"서울특별시 강남구 테헤란로34길 17, 102호 (역삼동, 혜성빌딩)"
추가,202005,미소야,용인강남대점,경기도 용인시 기흥구 강남동로 6 미소야 용인강남대점
추가,202005,못난이꽈배기,압구정점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)101호"
변경,202005,삼성디지털프라자,[삼성 디지털프라자] 갤러리아본점,서울 강남구 압구정로 343 WEST 5F 삼성전자
추가,202005,다이소,아성다이소 의정부민락2호점,서울특별시 강남구 남부순환로 2748
추가,202005,패스트파이브,강남5호점,서울 강남구 테헤란로2길 27 패스트파이브 빌딩 8-15층
추가,202005,투썸플레이스,투썸강남역삼로,서울특별시 강남구 역삼로 118 (역삼동) 1층
추가,202005,파리바게뜨,동탄여울공원,경기 화성시 동탄광역환승로 73 207동 지하1층 E031호
추가,202005,파리바게뜨,동탄르파비스,"경기 화성시 동탄순환대로20길 124 104, 105호"
추가,202005,파리바게뜨,병점중심상가,경기 화성시 효행로 1072
추가,202005,파리바게뜨,병점중심상가,"경기 화성시 효행로 1072 104, 105호"
추가,202005,해법영어교실,해법영어교실 서연점,경기도 화성시 동탄대로4길 95 3413동 202호
추가,202005,해법영어교실,신창2차해법영어교습,경기도 화성시 병점2로 102
추가,202005,해법영어교실,봉담푸르지오 해법영어교실,경기도 화성시 봉담읍 와우로34번길 12
변경,202005,마스타,H4-영근정비공업사,경기 화성시 기안동 333-4
추가,202005,비비큐(BBQ),화성송산그린시티점,"경기도 화성시 수노을1로 235 (새솔동, 더펠리체휴먼빌아파트) 122동 105호"
추가,202005,골프존파크,봉담 금메달,경기 화성시 봉담읍 상리 459-6
추가,202005,메가엠지씨커피,동탄반도카림2차점,경기도 화성시 동탄광역환승로 73 동탄역 반도유보라 아이비파크 8.0 E004호
추가,202005,메가엠지씨커피,동탄KTX벨리점,경기도 화성시 동탄첨단산업1로 14 동탄ktx밸리 103호(영천동)
추가,202005,메가엠지씨커피,봉담점,"경기도 화성시 봉담읍 동화길 93-8, 108호"
추가,202005,프로스펙스,화성봉담점,"경기도 화성시 봉담읍 삼천병마로1047-10,B동 106호"
추가,202005,프로스펙스,화성봉담점(행사),"경기도 화성시 봉담읍 삼천병마로1047-10,B동 106호"
추가,202005,워시엔조이,화성정남점,경기도 화성시 정남면 발산리 540
추가,202005,브이쿨,경기치동천점,경기도 화성시 동탄치동천로2길 3-43 (영천동)
추가,202005,기탄사고력교실,경기 화성 동2 중앙반도1차교실,경기도 화성시 동탄대로시범길 168 시범반도유보라1차
추가,202005,60계,화성시청점,경기 화성시 남양읍 역골로 21 104호
추가,202005,맥시칸치킨,반월,"경기 화성시 경기 화성시 동탄원천로 382-37 (반월동, 에스케이뷰파크)"
추가,202005,서브웨이(SUBWAY),화성남양,경기 화성시 남양읍 시청로 6
추가,202005,서브웨이(SUBWAY),화성향남,"경기도 화성시 향남읍 향남로 392 우성메디피아 1층 103호, 104호"
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[능동1점],경기도 화성시 10용사로 343-10
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[기산1점],경기도 화성시 매송북길247번길 7
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[와우1점],경기도 화성시 봉담읍 와우로 90 토마토쇼핑
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[조암1점],경기도 화성시 우정읍 조암동로10번길 21
변경,202005,훌랄라참숯바베큐,훌랄라참숯불치킨[향남2점],경기도 화성시 행정중앙2로 63-34
